loan_id,customer_id,loan_amount,term_days,disbursement_date,interest_rate,repayment_schedule,customer_age,customer_gender,customer_region,employment_type,monthly_income,num_dependents,credit_score,previous_loans,previous_defaults,avg_days_late_prev,device_type,channel,debt_to_income,is_default_90d
LN107487,CUST201487,5391.86,30,18-07-2024 02:06,20.65,weekly,42,male,north,informal,29263.91,2,,1,0,6.4,android,app,0.184,0
LN105272,CUST205272,7522.24,60,22-07-2024 07:46,15.54,weekly,35,female,central,self_employed,45884.52,0,582.3550283,2,0,,android,agent,0.164,0
LN105653,CUST205653,1270.03,180,18-08-2024 13:41,16.21,monthly,55,female,east,salaried,4080.18,0,576.1295325,1,0,11.4,android,app,0.311,0
LN103999,CUST203999,3406.55,30,19-07-2025 16:15,13.92,monthly,30,male,north,self_employed,9886.72,2,,2,0,14.6,android,app,0.345,0
LN106033,CUST200033,16145.12,60,02-08-2024 17:41,19.85,monthly,18,female,central,self_employed,29977.71,0,,1,0,3.1,android,agent,0.539,0
LN100582,CUST200582,1611.18,60,21-06-2024 03:17,14.4,biweekly,53,female,south,salaried,4741.56,0,615.6184572,2,0,6.2,web,app,0.34,0
LN109930,CUST203930,2525.7,90,30-11-2023 05:50,16.5,monthly,31,male,west,salaried,15350.27,1,655.4310949,2,0,10.9,android,branch,0.165,0
LN107051,CUST201051,7954.03,120,30-07-2024 22:49,18.66,biweekly,22,male,south,self_employed,27629.4,1,698.4234157,2,0,5.9,android,app,0.288,0
LN108158,CUST202158,4936.2,30,23-07-2025 20:16,7.63,monthly,41,male,north,salaried,3534.88,1,,2,0,8.4,android,app,1.396,0
LN109896,CUST203896,8606.42,120,08-03-2024 03:37,22.79,biweekly,34,female,north,salaried,,0,567.4215622,3,0,0.5,ios,app,0.657,0
LN102249,CUST202249,3541.73,120,22-06-2024 05:21,19.02,monthly,42,male,north,informal,11552.94,0,616.2178048,2,0,12.7,ios,branch,0.307,0
LN104640,CUST204640,15754.26,90,12-09-2024 03:48,10.4,biweekly,31,male,north,salaried,22965.55,1,632.5600807,2,2,1.6,web,app,0.686,0
LN109485,CUST203485,5671.62,30,15-07-2025 02:05,15.84,biweekly,40,female,south,self_employed,57086.55,1,654.6744406,3,0,7.9,android,app,0.099,0
LN104947,CUST204947,3675.43,180,20-01-2024 02:51,19.44,biweekly,52,male,south,salaried,19134.68,0,760.1630756,0,0,,android,app,0.192,0
LN109920,CUST203920,2155.31,90,11-02-2025 03:42,20.12,monthly,53,female,north,self_employed,8295.68,0,681.6841309,2,0,17.6,android,app,0.26,0
LN101963,CUST201963,11791.34,60,25-08-2025 06:57,21.94,monthly,32,female,west,self_employed,17336.77,0,685.9099811,3,0,1.9,android,branch,0.68,0
LN108243,CUST202243,2845.74,90,05-03-2024 01:54,28.83,weekly,26,male,south,salaried,28781.49,1,599.9035398,1,0,15.8,android,app,0.099,0
LN106590,CUST200590,5120.44,90,19-05-2025 01:33,14.35,biweekly,18,female,north,self_employed,30773.55,1,613.8329065,1,0,0.4,android,app,0.166,0
LN108847,CUST202847,21205.01,60,16-06-2024 23:13,14.16,biweekly,39,male,central,self_employed,15149.85,1,704.72119,1,0,11.7,web,branch,1.4,0
LN100321,CUST200321,7303,60,15-07-2024 02:28,14.75,biweekly,46,female,north,salaried,24962.63,0,,1,0,2.2,web,agent,0.293,0
LN102678,CUST202678,6206.69,90,01-06-2024 23:28,16.06,biweekly,61,male,west,self_employed,43098.1,1,,1,0,3.5,android,agent,0.144,0
LN104625,CUST204625,2532.2,90,11-09-2025 00:06,16.32,biweekly,40,female,north,salaried,,0,661.4183526,4,1,,android,app,0.209,0
LN104949,CUST204949,3847.14,30,21-11-2024 16:15,13.57,biweekly,22,male,west,informal,14620.8,1,797.2319062,3,0,8.1,android,branch,0.263,0
LN108328,CUST202328,10157.08,60,07-11-2023 01:12,18.86,weekly,34,female,central,informal,45031.1,0,635.7859918,3,0,2.3,android,app,0.226,0
LN103337,CUST203337,7479.24,120,01-10-2024 14:00,15.32,weekly,46,female,south,salaried,84539.6,2,,1,0,16.5,android,branch,0.088,0
LN105589,CUST205589,7656.91,90,27-10-2023 23:59,13.8,monthly,36,female,central,salaried,29182.45,1,632.0392594,0,0,,android,agent,0.262,0
LN100251,CUST200251,1842.55,90,01-07-2024 04:49,17.24,monthly,36,male,central,informal,24437.61,1,611.8545118,1,1,5.3,web,agent,0.075,0
LN103973,CUST203973,7230.14,60,03-02-2025 15:55,19.31,biweekly,21,female,east,salaried,73131.51,2,,1,0,0.1,android,app,0.099,0
LN106630,CUST200630,7014.77,120,03-02-2025 01:01,19.8,monthly,30,female,north,self_employed,15202.9,2,728.7027549,3,0,1.2,ios,agent,0.461,0
LN105547,CUST205547,1971.32,90,21-02-2024 05:29,10.41,monthly,26,male,east,self_employed,50007.15,2,679.8926212,0,0,,android,app,0.039,0
LN100035,CUST200035,3527.54,60,03-01-2025 02:45,8.09,weekly,42,female,west,salaried,12434.92,0,722.1848327,2,0,0.9,android,app,0.284,0
LN108362,CUST202362,9882.86,60,02-08-2024 21:51,16.79,monthly,51,female,south,informal,17996.5,1,,0,0,,android,agent,0.549,0
LN101513,CUST201513,4592.11,90,03-01-2025 04:08,17.27,monthly,21,male,central,informal,7835.21,0,620.6863608,1,0,2.6,ios,branch,0.586,1
LN109317,CUST203317,3371.78,90,03-07-2024 09:28,20.3,weekly,41,male,north,informal,12605.91,0,457.7235312,3,1,5.3,android,agent,0.267,0
LN100039,CUST200039,2105.12,90,30-03-2025 20:36,17.56,monthly,49,male,north,salaried,11751.19,2,563.6374642,2,1,0.7,android,branch,0.179,0
LN104819,CUST204819,5705.48,90,20-04-2024 05:00,23.44,weekly,18,male,west,informal,10203.76,0,,2,0,3.6,android,app,0.559,0
LN103465,CUST203465,3180.99,120,24-09-2024 10:55,11.34,monthly,51,female,south,self_employed,28072.67,2,,0,0,,android,app,0.113,0
LN101760,CUST201760,2418.66,30,13-05-2024 10:59,13.41,biweekly,31,male,north,self_employed,32039.16,1,630.3303544,0,0,,android,agent,0.075,0
LN102304,CUST202304,15086.29,120,14-01-2024 16:16,19.22,biweekly,30,female,east,informal,43282.26,0,,1,0,1.8,android,agent,0.349,0
LN103723,CUST203723,4850.38,120,31-03-2024 20:24,15.84,monthly,45,male,east,salaried,16215.01,0,703.8821599,1,0,2.9,android,app,0.299,0
LN108284,CUST202284,43424.7,60,10-01-2024 07:13,15.62,biweekly,36,female,south,unemployed,2831.96,1,,0,0,,android,agent,1.533,0
LN104993,CUST204993,12976.18,90,26-02-2024 12:15,12.27,weekly,49,female,south,salaried,12932.24,0,608.7626797,2,0,2,android,agent,1.003,0
LN108127,CUST202127,2681.75,30,20-06-2025 01:12,13.72,monthly,44,female,south,self_employed,26803.39,1,760.9009356,3,0,3.8,android,app,0.1,0
LN103032,CUST203032,6448.49,180,25-03-2024 00:39,18.92,weekly,28,male,south,informal,17288.75,0,673.2685681,1,0,16.5,android,app,0.373,0
LN107938,CUST201938,2137.13,60,28-04-2025 13:04,22.96,biweekly,45,female,central,salaried,15530.32,1,,5,0,13.5,android,agent,0.138,0
LN103039,CUST203039,2272.12,90,06-07-2024 19:18,16.5,monthly,46,male,south,salaried,26358.41,3,,1,0,11,android,app,0.086,0
LN109655,CUST203655,16013.46,90,20-03-2025 18:29,19.11,weekly,55,female,central,salaried,51009.69,1,,1,0,,android,app,0.314,0
LN102545,CUST202545,4486.98,180,27-11-2024 19:08,19.43,monthly,41,female,west,salaried,266287.86,2,,2,0,5.2,android,app,0.017,0
LN102592,CUST202592,2286.09,90,28-10-2024 10:13,21.6,biweekly,44,male,west,salaried,46182.28,0,,1,0,2.1,web,branch,0.05,0
LN101188,CUST201188,5066.17,30,22-01-2025 10:49,22.18,monthly,33,male,south,unemployed,56848.74,2,,1,0,7.7,android,app,0.089,0
LN107966,CUST201966,3748.89,90,03-08-2025 12:28,22.62,monthly,29,male,west,salaried,20360.97,1,,1,1,6.3,android,app,0.184,0
LN106077,CUST200077,2672.38,90,26-10-2023 13:23,22.19,monthly,24,male,north,self_employed,14739.31,3,656.3922075,5,0,6.1,android,app,0.181,0
LN100107,CUST200107,9077.34,30,31-08-2025 02:20,14.98,biweekly,55,female,south,salaried,18671.84,0,671.6013035,1,1,0.4,ios,app,0.486,0
LN101315,CUST201315,4214.82,30,27-04-2024 08:21,17.52,monthly,58,female,east,informal,3666.98,3,714.9888188,0,0,,android,app,1.149,0
LN108187,CUST202187,4346.97,60,25-11-2024 18:38,20,biweekly,40,male,west,salaried,46326.46,0,464.0164742,2,0,18.9,android,branch,0.094,0
LN102753,CUST202753,1913.5,90,15-01-2024 00:47,16.66,monthly,44,male,east,salaried,8384.3,1,628.3130748,1,0,8.3,android,app,0.228,1
LN109753,CUST203753,4715.14,90,11-02-2025 11:47,17.94,monthly,30,female,south,self_employed,18375.55,2,588.5016571,0,0,,ios,app,0.257,0
LN106231,CUST200231,3562.87,30,19-10-2024 01:23,20.78,biweekly,38,male,north,self_employed,6198.56,3,612.9158728,1,1,0.7,web,app,0.575,0
LN102876,CUST202876,3268.72,180,07-03-2025 22:07,14.6,monthly,31,female,north,self_employed,74752.27,0,528.6606188,0,0,,android,branch,0.044,1
LN105323,CUST205323,3369.2,30,28-10-2023 07:03,18.05,biweekly,41,female,east,self_employed,14313.56,2,619.3983094,4,0,0.7,android,app,0.235,0
LN100799,CUST200799,7911.02,60,26-04-2024 13:52,19.78,weekly,37,male,south,salaried,5108.37,1,661.5249951,4,0,11.6,android,app,1.548,0
LN103570,CUST203570,12104.01,90,09-10-2024 21:01,16.95,monthly,46,male,east,salaried,6227.43,1,,2,0,3.3,android,app,1.943,0
LN102894,CUST202894,4863.85,120,30-04-2025 00:25,16.23,weekly,28,male,central,informal,27371.54,1,636.8223294,1,0,2.4,android,agent,0.178,0
LN102927,CUST202927,3162.52,60,07-09-2025 22:07,12.43,monthly,34,other,central,self_employed,19810.54,0,,2,0,5.3,web,app,0.16,0
LN108178,CUST202178,6823.31,120,11-03-2024 03:25,14.59,monthly,37,female,west,informal,3278.82,2,599.9892025,0,0,,android,app,2.08,0
LN100971,CUST200971,1362.31,90,24-05-2025 11:02,14.47,biweekly,42,female,central,self_employed,8380.3,1,726.0656109,1,0,15.7,android,app,0.163,0
LN106687,CUST200687,22004.19,90,29-04-2024 10:44,16.44,monthly,39,female,north,self_employed,11314.83,1,556.4380422,2,0,5.4,android,app,1.945,0
LN108575,CUST202575,4443.07,60,15-12-2023 05:57,20.23,monthly,21,male,east,salaried,12820.58,1,605.6155675,0,0,,android,app,0.347,0
LN102020,CUST202020,4738.35,90,10-09-2025 11:04,20.22,monthly,33,male,south,salaried,9482.95,1,,1,0,10.1,android,agent,0.5,0
LN109054,CUST203054,18005.45,90,04-08-2024 19:53,13.91,monthly,20,male,west,salaried,32989.87,1,,1,0,3.3,android,app,0.546,0
LN100952,CUST200952,4109.95,30,08-09-2025 02:41,19.83,monthly,44,female,north,salaried,10186.57,4,,2,0,4.7,android,app,0.403,0
LN105359,CUST205359,2890.05,90,25-10-2023 05:25,18.9,biweekly,39,male,south,informal,6535.02,1,757.1616891,2,0,1.6,android,branch,0.442,0
LN103857,CUST203857,2295.86,30,30-06-2024 09:56,20.63,monthly,34,male,west,salaried,40234.65,1,692.6627716,1,0,3.1,android,agent,0.057,0
LN105861,CUST205861,26352.54,90,15-10-2023 15:19,14.26,monthly,44,female,south,salaried,31974.79,1,588.3955154,0,0,,android,agent,0.824,0
LN103145,CUST203145,12223.4,180,27-10-2023 01:12,20.78,monthly,37,female,central,self_employed,8479.49,0,707.8035942,1,0,6.3,ios,app,1.441,0
LN103305,CUST203305,7046.28,120,24-01-2025 04:03,24.09,weekly,35,male,west,salaried,12897.42,1,648.724871,2,0,1.6,android,app,0.546,0
LN103006,CUST203006,5251.94,30,16-10-2023 00:43,17.62,monthly,30,male,south,salaried,32792.67,0,543.1808236,3,0,1.9,ios,app,0.16,0
LN109001,CUST203001,12043.54,120,16-07-2025 00:52,16.15,monthly,33,male,central,self_employed,27135.09,0,662.68386,1,0,16,ios,app,0.444,0
LN107770,CUST201770,1554.3,30,06-04-2025 14:34,17.19,monthly,43,female,west,salaried,45923.44,0,552.7763866,0,0,,android,app,0.034,0
LN107438,CUST201438,5541.53,30,29-01-2025 19:41,14.54,monthly,41,male,north,salaried,153446.18,0,783.8283086,3,0,1,android,app,0.036,0
LN107942,CUST201942,12408.31,60,23-10-2023 05:02,12.95,monthly,41,male,north,self_employed,22838.24,0,,0,0,,android,app,0.543,0
LN109238,CUST203238,2508.61,30,11-07-2024 19:16,24.38,biweekly,28,female,west,salaried,21258.61,1,622.6683335,1,0,4.1,web,agent,0.118,0
LN101056,CUST201056,1189.58,60,21-07-2025 08:30,15.6,monthly,33,male,south,salaried,3204.13,2,,1,0,2,android,app,0.371,0
LN103154,CUST203154,5569.54,30,11-07-2024 19:38,21.47,monthly,36,female,north,salaried,14255.31,1,625.7765972,2,0,4.1,android,app,0.391,0
LN103787,CUST203787,3155.92,60,15-01-2025 11:21,19.38,weekly,20,female,north,salaried,145396.11,2,580.4508755,2,0,2.3,ios,app,0.022,0
LN109189,CUST203189,4546.66,60,09-02-2024 21:20,14.67,monthly,38,male,west,salaried,30167.01,1,601.4958278,1,0,0.1,android,app,0.151,0
LN107825,CUST201825,1813.52,120,18-08-2025 14:57,13.77,weekly,46,female,west,self_employed,11457.58,1,,0,0,,android,app,0.158,0
LN107539,CUST201539,6278.37,30,02-10-2024 07:23,23.32,monthly,31,female,south,salaried,30400.18,2,598.6621304,1,0,0.1,android,agent,0.207,0
LN107231,CUST201231,5090.53,90,08-06-2025 17:40,17.83,monthly,31,male,north,informal,8694.3,1,,0,0,,android,app,0.585,0
LN100764,CUST200764,9511.96,60,01-10-2025 22:50,22.7,monthly,39,male,east,salaried,7545.14,0,,2,0,28.4,android,app,1.261,0
LN105019,CUST205019,4502.22,30,23-12-2024 07:25,16.8,weekly,34,female,west,informal,7986,1,,3,0,2.5,android,app,0.564,0
LN104903,CUST204903,17751.54,120,11-04-2025 12:22,25.4,biweekly,26,female,north,self_employed,104358.61,0,651.8758695,1,0,0.2,android,app,0.17,0
LN108093,CUST202093,5156.71,30,16-01-2024 18:33,21.17,monthly,24,male,central,self_employed,23571.82,2,637.0233884,1,0,1.9,android,app,0.219,1
LN106843,CUST200843,15895.57,180,16-05-2025 00:02,20.1,monthly,35,female,central,informal,47962.08,0,,3,0,15.9,android,app,0.331,0
LN102165,CUST202165,8634.98,30,16-06-2024 16:39,13.41,biweekly,39,female,north,informal,18139.84,0,643.6331063,1,0,9.2,android,app,0.476,0
LN101862,CUST201862,9801.26,90,10-04-2025 21:04,14.06,monthly,32,male,north,informal,12213.89,1,793.0633678,2,0,8.6,android,app,0.802,0
LN107850,CUST201850,16985.58,120,23-10-2024 14:41,15.9,monthly,24,male,east,unemployed,4984.55,1,638.5284222,1,0,19.7,android,branch,3.407,0
LN109123,CUST203123,5794.38,180,15-02-2024 22:52,15.55,monthly,48,male,north,self_employed,23978.55,0,527.2664785,3,1,20.7,android,agent,0.242,0
LN102340,CUST202340,4028.22,90,14-05-2025 19:35,24.17,monthly,34,male,north,self_employed,13728.32,1,800.8359082,2,0,0.4,android,branch,0.293,0
LN105527,CUST205527,1741.92,120,24-03-2024 23:46,12.24,monthly,47,male,south,self_employed,30938.39,0,,1,0,2.2,android,branch,0.056,1
LN106743,CUST200743,7799.83,30,25-11-2023 02:15,17.13,monthly,18,male,south,informal,17209.44,2,610.6109239,2,0,10.5,web,app,0.453,0
LN104003,CUST204003,5374.69,90,28-06-2024 11:56,17.37,weekly,45,female,south,informal,13871.57,1,862.4579221,0,0,,web,agent,0.387,0
LN101123,CUST201123,2818.27,30,16-11-2024 12:33,17.2,weekly,33,male,north,informal,915.26,0,,1,0,8.4,android,agent,3.076,0
LN108709,CUST202709,8662.62,30,15-01-2024 20:14,18.33,monthly,41,female,north,salaried,8878.41,3,,1,0,4.6,android,agent,0.976,0
LN104049,CUST204049,9874.58,60,03-09-2025 15:01,19.34,monthly,33,female,north,informal,32242.28,0,,2,0,4.2,android,app,0.306,0
LN107640,CUST201640,2334.97,180,10-03-2024 05:38,20.15,monthly,32,female,west,salaried,71079.26,1,,0,0,,android,app,0.033,0
LN100765,CUST200765,18258.48,30,15-10-2024 13:49,17.66,weekly,23,female,north,self_employed,24671.86,0,,1,0,0.6,ios,app,0.74,0
LN102344,CUST202344,11334,90,21-02-2024 14:23,23.82,weekly,22,male,south,self_employed,15552.24,0,684.4798054,1,0,18.5,android,app,0.729,0
LN104071,CUST204071,1107.01,30,10-04-2024 05:08,16.97,monthly,36,female,south,self_employed,18986.63,2,603.655993,2,1,11.4,android,branch,0.058,0
LN107216,CUST201216,2105.35,30,19-12-2023 18:06,15.11,monthly,25,male,north,self_employed,43217.71,1,,2,0,,android,app,0.049,0
LN104216,CUST204216,13579.44,60,28-12-2023 16:06,14.32,weekly,18,female,east,salaried,5599.72,1,645.2553963,4,0,3.1,android,app,2.425,0
LN107952,CUST201952,8705.08,120,25-04-2024 22:39,17.25,monthly,38,male,west,salaried,92721.29,3,679.3069713,3,0,6.5,android,app,0.094,0
LN105970,CUST205970,2268.59,90,20-08-2025 21:04,19.19,monthly,24,female,north,self_employed,10364.45,1,555.1892083,3,0,1.7,web,agent,0.219,0
LN103350,CUST203350,3773.21,30,26-11-2024 19:49,10.3,biweekly,20,male,west,unemployed,34009.11,2,,0,0,,web,app,0.111,0
LN104695,CUST204695,1794.65,90,14-05-2025 18:34,14.41,weekly,47,male,central,salaried,38976.59,3,546.210387,2,1,7.8,android,app,0.046,0
LN103399,CUST203399,3546.74,90,05-05-2025 19:02,15.22,monthly,41,female,north,self_employed,8853.42,2,600.7980085,1,0,6.1,android,agent,0.401,0
LN104081,CUST204081,5549.32,30,09-02-2024 09:44,22.04,monthly,54,male,south,informal,4076.03,2,,1,0,3.5,android,app,1.361,0
LN109149,CUST203149,5536.29,30,10-12-2023 10:16,15.04,monthly,40,female,south,salaried,130987.41,0,590.3659643,2,1,0.5,android,app,0.042,1
LN101224,CUST201224,7937.5,180,29-09-2024 13:18,12.77,weekly,55,female,east,salaried,4964.13,1,686.365302,2,0,2.7,web,branch,1.599,0
LN106292,CUST200292,13921.24,30,02-03-2024 05:06,23.82,monthly,44,male,central,salaried,99853.83,0,573.594252,1,0,1.8,android,app,0.139,0
LN103122,CUST203122,8349.66,90,26-07-2024 01:07,20.16,weekly,31,female,west,salaried,9629.8,1,,1,0,0.4,android,app,0.867,0
LN100510,CUST200510,8998.11,60,09-08-2024 19:57,14.67,monthly,41,female,central,informal,8204.78,2,599.2914473,2,0,2.5,ios,app,1.097,0
LN105794,CUST205794,4672.41,120,18-11-2024 17:46,14.54,weekly,47,female,south,informal,31827.26,1,634.8269909,2,0,13.7,android,app,0.147,0
LN108181,CUST202181,6642.18,30,29-09-2025 10:05,17.56,monthly,38,female,east,salaried,15317.29,1,,0,0,,android,app,0.434,0
LN109417,CUST203417,3621.67,90,05-07-2024 07:58,14.24,monthly,28,male,north,salaried,36882.28,2,670.1335598,2,1,0.9,android,app,0.098,0
LN100096,CUST200096,10793.32,120,13-01-2024 15:36,18.83,biweekly,28,female,central,salaried,11470.83,1,,1,0,2.9,web,app,0.941,0
LN106681,CUST200681,5578.92,30,02-10-2025 05:17,20.46,biweekly,26,female,south,unemployed,5427.79,3,,2,0,,android,branch,1.028,0
LN101512,CUST201512,11410.5,60,18-06-2025 16:29,18.11,biweekly,24,male,west,self_employed,,1,581.3926506,4,0,4.4,android,branch,0.488,0
LN108791,CUST202791,4672.57,120,21-11-2024 11:04,19.64,monthly,37,female,east,salaried,29279.43,2,532.1043708,2,1,9.4,android,app,0.16,0
LN100119,CUST200119,909.49,90,27-07-2025 15:31,9.54,biweekly,40,female,west,informal,15257.35,1,714.0367173,0,0,,web,app,0.06,0
LN107791,CUST201791,7503.6,120,05-05-2024 22:31,28.36,monthly,54,male,central,informal,54849.52,2,555.1807154,2,0,3,ios,app,0.137,0
LN106517,CUST200517,3353.5,60,17-04-2025 05:52,22.09,monthly,38,male,west,salaried,7144.88,0,603.4467614,4,0,3.9,web,agent,0.469,0
LN100033,CUST200033,2059.82,180,09-10-2024 23:59,21.01,monthly,31,male,south,informal,3781.91,1,557.3972483,2,0,15.4,android,agent,0.545,0
LN107887,CUST201887,624.68,60,22-10-2024 00:46,19.25,monthly,23,female,central,unemployed,6013.09,3,716.3646765,2,0,0.7,android,app,0.104,0
LN106830,CUST200830,4053.52,60,01-01-2024 13:10,23.24,weekly,23,male,north,informal,59836.25,0,750.2015852,0,0,,android,branch,0.068,0
LN105421,CUST205421,3949.44,180,19-04-2024 16:17,16.34,monthly,39,male,south,informal,22245.51,0,,0,0,,android,app,0.178,0
LN101068,CUST201068,4583.03,60,28-09-2025 07:15,15.27,weekly,27,other,central,self_employed,29199.52,0,616.3869467,4,0,7.9,android,branch,0.157,0
LN101347,CUST201347,1516.62,30,04-10-2024 05:09,18.46,monthly,37,female,central,salaried,16198.4,0,,2,0,7.7,web,agent,0.094,0
LN104747,CUST204747,10640.64,30,14-04-2024 10:23,25.71,monthly,23,male,central,salaried,42490.07,1,,2,0,1.9,android,branch,0.25,0
LN106005,CUST200005,9605.83,90,08-09-2025 10:38,13.63,weekly,44,female,east,salaried,13662.4,1,598.4540804,2,1,5.3,web,agent,0.703,0
LN106039,CUST200039,6187,30,04-02-2025 14:57,10,biweekly,19,female,south,informal,21880.62,2,,1,0,4,android,agent,0.283,0
LN103817,CUST203817,6680.85,60,28-07-2025 02:10,16.24,monthly,26,female,east,self_employed,4087.8,2,640.3428906,2,0,7.8,android,app,1.634,0
LN108446,CUST202446,8427.9,60,07-08-2024 03:40,16.43,biweekly,19,male,east,self_employed,138649.52,0,667.3587558,3,0,1,android,app,0.061,1
LN105269,CUST205269,3346.27,90,26-03-2025 16:59,14.12,biweekly,48,male,east,salaried,66235.53,1,615.6232652,0,0,,android,agent,0.051,0
LN106897,CUST200897,8920.85,30,23-07-2024 00:03,20.04,monthly,31,male,east,informal,22842.1,0,484.4529367,3,0,,android,app,0.391,0
LN105309,CUST205309,5655.73,30,31-07-2024 04:43,27.6,monthly,31,female,east,salaried,3341.67,1,,1,0,1.5,android,agent,1.692,0
LN100031,CUST200031,7928.15,90,21-09-2024 13:13,14.01,weekly,35,female,east,salaried,33012.82,1,753.2198662,0,0,,android,app,0.24,0
LN105674,CUST205674,3341.1,90,27-06-2024 14:46,17.28,biweekly,59,female,south,salaried,14417.73,2,717.9668338,3,0,0.4,ios,app,0.232,0
LN104386,CUST204386,3925.2,60,28-03-2024 13:01,15.86,biweekly,33,female,south,salaried,6626.22,2,652.3034722,1,0,0.6,ios,app,0.592,0
LN100029,CUST200029,4634.7,90,27-01-2024 12:44,16.41,weekly,37,male,south,informal,17849,0,568.7924148,2,0,17.3,android,app,0.26,0
LN104202,CUST204202,2096.52,90,18-10-2024 03:43,13.67,biweekly,49,female,south,salaried,51515.18,1,678.7164553,3,0,0.2,ios,branch,0.041,0
LN107507,CUST201507,5567.75,180,07-10-2023 02:05,15.16,monthly,42,male,east,informal,18883.12,1,661.9081051,0,0,,android,agent,0.295,0
LN100735,CUST200735,5574.75,60,31-07-2024 13:16,16.13,weekly,23,male,east,unemployed,4571.59,0,688.0997803,1,0,1.1,web,app,1.219,0
LN102067,CUST202067,5675.53,30,28-06-2025 00:46,18.27,monthly,55,female,south,self_employed,1933.23,2,804.5076569,3,0,5.1,android,branch,2.934,0
LN100106,CUST200106,4889.35,120,21-06-2024 05:41,15.07,monthly,53,female,central,salaried,16662.05,2,714.9709843,1,0,4.3,android,app,0.293,0
LN109644,CUST203644,8633.7,180,29-12-2024 15:59,28.47,monthly,18,male,west,salaried,15187.51,2,,1,0,1,android,app,0.568,0
LN108894,CUST202894,2256.73,90,16-06-2024 00:59,20.5,monthly,37,male,west,unemployed,41348.25,1,669.1113408,1,0,16.5,android,app,0.055,0
LN108020,CUST202020,10205.76,90,26-01-2024 12:51,19.31,monthly,35,female,west,salaried,12041.19,1,545.6738996,1,0,10.8,android,app,0.848,0
LN102232,CUST202232,6803.88,120,18-01-2024 07:46,19.14,monthly,31,male,central,salaried,21688.36,1,621.4560407,0,0,,android,app,0.314,0
LN100993,CUST200993,15770.1,90,26-11-2023 22:37,24.32,monthly,31,male,east,salaried,25760.17,1,608.1059714,0,0,,android,app,0.612,0
LN109412,CUST203412,10037.74,60,02-12-2024 06:54,15.98,monthly,35,male,west,self_employed,12196.54,0,727.1711941,2,0,9.7,android,app,0.823,0
LN107058,CUST201058,16125.71,30,16-02-2025 17:19,19.02,weekly,19,male,north,informal,31242.59,1,835.6124888,1,0,8.6,android,branch,0.516,0
LN106789,CUST200789,6304.02,60,22-02-2024 09:27,19.08,biweekly,29,male,north,self_employed,4924.28,2,552.1593356,1,0,,web,branch,1.28,0
LN100360,CUST200360,5723.73,90,08-06-2025 10:31,20.96,weekly,34,female,central,self_employed,22009.02,4,,1,0,0.2,android,app,0.26,0
LN100304,CUST200304,4198.82,60,04-10-2025 16:31,23.8,monthly,31,male,south,self_employed,16013.27,1,,3,0,2.5,android,app,0.262,0
LN102627,CUST202627,12216.99,90,15-02-2024 03:46,13.24,monthly,38,male,central,salaried,15086.76,2,,1,0,14.5,android,agent,0.81,1
LN108965,CUST202965,3780.28,60,01-08-2025 11:21,21.38,monthly,31,female,north,salaried,28152.03,1,622.2079486,0,0,,android,app,0.134,0
LN104513,CUST204513,4803.39,90,02-01-2025 20:31,16.95,monthly,50,male,north,self_employed,18536.6,1,,1,0,4.4,android,app,0.259,0
LN105910,CUST205910,8540.69,90,14-03-2024 18:33,18.75,biweekly,29,male,north,salaried,18863.84,3,627.3404646,1,0,12.4,android,app,0.453,0
